Pincode,State,District,Total_Aadhar_Activity,Est_Pincode_Pop,Est_APR
785665,Assam,Sibsagar,200,50781,0.39
713367,West Bengal,Barddhaman,201,44354,0.45
781353,Assam,Nalbari,201,19786,1.02
416513,Maharashtra,Sindhudurg,201,15734,1.28
172027,Himachal Pradesh,Shimla,203,13797,1.47
172031,Himachal Pradesh,Shimla,203,13797,1.47
643238,Tamil Nadu,The Nilgiris,205,14708,1.39
172108,Himachal Pradesh,Kinnaur,207,5608,3.69
786629,Arunachal Pradesh,Tirap,208,18663,1.11
171222,Himachal Pradesh,Shimla,208,13797,1.51
171218,Himachal Pradesh,Shimla,210,13797,1.52
403403,Goa,North Goa,210,14873,1.41
793107,Meghalaya,East Khasi Hills,210,25028,0.84
643237,Tamil Nadu,The Nilgiris,211,14708,1.43
629805,Tamil Nadu,Kanniyakumari,211,24610,0.86
576114,Karnataka,Udupi,212,16583,1.28
175132,Himachal Pradesh,Lahul and Spiti,212,2869,7.39
682016,Kerala,Ernakulam,213,23614,0.9
689571,Kerala,Alappuzha,213,18186,1.17
742191,West Bengal,Murshidabad,213,71038,0.3
504220,Andhra Pradesh,Adilabad,213,57109,0.37
643204,Tamil Nadu,The Nilgiris,214,14708,1.46
713326,West Bengal,Barddhaman,214,44354,0.48
403728,Goa,South Goa,215,14896,1.44
173204,Himachal Pradesh,Solan,216,19344,1.12
403803,Goa,South Goa,218,14896,1.46
403104,Goa,North Goa,218,14873,1.47
403806,Goa,South Goa,220,14896,1.48
685591,Kerala,Idukki,220,19456,1.13
283207,Uttar Pradesh,Firozabad,220,80586,0.27
851115,Bihar,Begusarai,221,87369,0.25
472336,Madhya Pradesh,Tikamgarh,221,72258,0.31
176094,Himachal Pradesh,Kangra,222,14520,1.53
786006,Assam,Dibrugarh,223,44211,0.5
176097,Himachal Pradesh,Kangra,224,14520,1.54
602117,Tamil Nadu,Kancheepuram,224,37719,0.59
713429,West Bengal,Barddhaman,226,44354,0.51
682035,Kerala,Ernakulam,226,23614,0.96
713386,West Bengal,Paschim Bardhaman,226,3652,6.188
680020,Kerala,Thrissur,228,18469,1.23
