State,Urban Activity %,Rural Activity %
Andaman and Nicobar Islands,47,53
Andhra Pradesh,53.96,46.04
Arunachal Pradesh,18,82
Assam,60.75,39.25
Bihar,92.08,7.92
Chandigarh,86.25,13.75
Chhattisgarh,93.88,6.12
Dadra and Nagar Haveli and Daman and Diu,78.71,21.29
Delhi,100,0
Goa,68,32
Gujarat,61.55,38.45
Haryana,81.54,18.46
Himachal Pradesh,8.05,91.95
Jammu and Kashmir,60.8,39.2
Jharkhand,83.34,16.66
Karnataka,46.48,53.52
Kerala,6.65,93.35
Ladakh,30,70
Lakshadweep,89,11
Madhya Pradesh,81.89,18.11
Maharashtra,77.81,22.19
Manipur,84.32,15.68
Meghalaya,82.13,17.87
Mizoram,20.85,79.15
Nagaland,21.76,78.24
Odisha,21.03,78.97
Pondicherry,23.94,76.06
Punjab,60.55,39.45
Rajasthan,69.97,30.03
Sikkim,14.56,85.44
Tamil Nadu,31.66,68.34
Telangana,67.55,32.45
Tripura,43.31,56.69
Uttar Pradesh,86.45,13.55
West Bengal,79.23,20.77
