State,Total_Demographic_17_Plus,Total_Enrollment_0_5,MPI
Andaman & Nicobar Islands,6629,479,13.83
Andhra Pradesh,1974362,112440,17.56
Arunachal Pradesh,30660,1957,15.67
Assam,928098,141235,6.57
Bihar,4434327,262875,16.87
Chandigarh,70228,2476,28.36
Chhattisgarh,1840227,82453,22.32
Dadra and Nagar Haveli,4926,691,7.12
Daman and Diu,1921,127,15.12
Delhi,1263399,69183,18.26
Goa,31845,1916,16.62
Gujarat,1615853,193031,8.37
Haryana,1026826,88042,11.66
Himachal Pradesh,129790,16639,7.8
Jammu and Kashmir,349329,39970,8.73
Jharkhand,1301813,98551,13.21
Karnataka,1430304,179262,7.98
Kerala,683888,53737,12.73
Ladakh,4360,466,9.36
Lakshadweep,1006,192,5.24
Madhya Pradesh,2505840,367990,6.81
Maharashtra,4781280,278814,17.15
Manipur,260085,5140,50.6
Meghalaya,78952,21179,3.73
Mizoram,36604,4136,8.85
Nagaland,32477,4512,7.2
Odisha,964499,99430,9.7
Pondicherry,28067,2778,10.1
Punjab,825029,61224,13.48
Rajasthan,2560391,229780,11.14
Sikkim,18785,1054,17.82
Tamil Nadu,1896590,182313,10.4
Telangana,1387649,105918,13.1
Tripura,126222,7376,17.11
Uttar Pradesh,7752020,521045,14.88
Uttarakhand,413711,31880,12.98
West Bengal,3629623,275391,13.18
