"State","District","Total Demographic","Percentage"
"Rajasthan","Ajmer","27901","4.64%"
"Rajasthan","Alwar","34982","5.82%"
"Rajasthan","Banswara","21182","3.52%"
"Rajasthan","Baran","20086","3.34%"
"Rajasthan","Barmer","21278","3.54%"
"Rajasthan","Bharatpur","15149","2.52%"
"Rajasthan","Bhilwara","24293","4.04%"
"Rajasthan","Bikaner","17726","2.95%"
"Rajasthan","Bundi","8903","1.48%"
"Rajasthan","Chittaurgarh","490","0.08%"
"Rajasthan","Chittorgarh","16122","2.68%"
"Rajasthan","Churu","19205","3.20%"
"Rajasthan","Dausa","11330","1.89%"
"Rajasthan","Dholpur","18957","3.15%"
"Rajasthan","Dungarpur","18858","3.14%"
"Rajasthan","Ganganagar","11882","1.98%"
"Rajasthan","Hanumangarh","10180","1.69%"
"Rajasthan","Jaipur","49367","8.21%"
"Rajasthan","Jaisalmer","3756","0.62%"
"Rajasthan","Jalor","19830","3.30%"
"Rajasthan","Jhalawar","20586","3.43%"
"Rajasthan","Jhunjhunu","650","0.11%"
"Rajasthan","Jhunjhunun","11108","1.85%"
"Rajasthan","Jodhpur","35980","5.99%"
"Rajasthan","Karauli","16261","2.71%"
"Rajasthan","Kota","20289","3.38%"
"Rajasthan","Nagaur","18328","3.05%"
"Rajasthan","Pali","16858","2.80%"
"Rajasthan","Pratapgarh","12446","2.07%"
"Rajasthan","Rajsamand","10797","1.80%"
"Rajasthan","Sawai Madhopur","8538","1.42%"
"Rajasthan","Sikar","15671","2.61%"
"Rajasthan","Sirohi","9746","1.62%"
"Rajasthan","Tonk","10621","1.77%"
"Rajasthan","Udaipur","21681","3.61%"
