"State","District","Total Demographic","Percentage"
"Andhra Pradesh","Adilabad","6378","1.24%"
"Andhra Pradesh","Alluri Sitharama Raju","2162","0.42%"
"Andhra Pradesh","Anakapalli","2847","0.56%"
"Andhra Pradesh","Anantapur","16676","3.25%"
"Andhra Pradesh","Ananthapur","6182","1.21%"
"Andhra Pradesh","Ananthapuramu","12833","2.50%"
"Andhra Pradesh","Annamayya","7441","1.45%"
"Andhra Pradesh","Bapatla","3583","0.70%"
"Andhra Pradesh","Chittoor","38423","7.49%"
"Andhra Pradesh","Cuddapah","19950","3.89%"
"Andhra Pradesh","Dr. B. R. Ambedkar Konaseema","2954","0.58%"
"Andhra Pradesh","East Godavari","33934","6.62%"
"Andhra Pradesh","Eluru","3783","0.74%"
"Andhra Pradesh","Guntur","35517","6.92%"
"Andhra Pradesh","Hyderabad","9157","1.79%"
"Andhra Pradesh","Kakinada","6674","1.30%"
"Andhra Pradesh","Karim Nagar","279","0.05%"
"Andhra Pradesh","Karimnagar","2767","0.54%"
"Andhra Pradesh","Khammam","7554","1.47%"
"Andhra Pradesh","Krishna","27087","5.28%"
"Andhra Pradesh","Kurnool","35340","6.89%"
"Andhra Pradesh","Mahabub Nagar","2923","0.57%"
"Andhra Pradesh","Mahbubnagar","2451","0.48%"
"Andhra Pradesh","Medak","2979","0.58%"
"Andhra Pradesh","N. T. R","8301","1.62%"
"Andhra Pradesh","Nalgonda","6920","1.35%"
"Andhra Pradesh","Nandyal","6058","1.18%"
"Andhra Pradesh","Nellore","16183","3.15%"
"Andhra Pradesh","Nizamabad","1327","0.26%"
"Andhra Pradesh","Palnadu","5613","1.09%"
"Andhra Pradesh","Parvathipuram Manyam","1903","0.37%"
"Andhra Pradesh","Prakasam","28230","5.50%"
"Andhra Pradesh","Rangareddi","5109","1.00%"
"Andhra Pradesh","Sri Potti Sriramulu Nellore","5557","1.08%"
"Andhra Pradesh","Sri Sathya Sai","4672","0.91%"
"Andhra Pradesh","Srikakulam","29762","5.80%"
"Andhra Pradesh","Tirupati","4503","0.88%"
"Andhra Pradesh","Visakhapatnam","35166","6.86%"
"Andhra Pradesh","Vizianagaram","22119","4.31%"
"Andhra Pradesh","Warangal","8977","1.75%"
"Andhra Pradesh","West Godavari","26344","5.14%"
"Andhra Pradesh","Y. S. R","6345","1.24%"
