"State","District","Total Demographic","Percentage"
"Arunachal Pradesh","Anjaw","136","1.55%"
"Arunachal Pradesh","Changlang","1258","14.30%"
"Arunachal Pradesh","East Kameng","287","3.26%"
"Arunachal Pradesh","East Siang","665","7.56%"
"Arunachal Pradesh","Kra Daadi","100","1.14%"
"Arunachal Pradesh","Lohit","550","6.25%"
"Arunachal Pradesh","Longding","300","3.41%"
"Arunachal Pradesh","Lower Dibang Valley","207","2.35%"
"Arunachal Pradesh","Lower Siang","105","1.19%"
"Arunachal Pradesh","Lower Subansiri","596","6.77%"
"Arunachal Pradesh","Namsai","967","10.99%"
"Arunachal Pradesh","Papum Pare","1184","13.45%"
"Arunachal Pradesh","Siang","131","1.49%"
"Arunachal Pradesh","Tawang","291","3.31%"
"Arunachal Pradesh","Tirap","401","4.56%"
"Arunachal Pradesh","Upper Siang","235","2.67%"
"Arunachal Pradesh","Upper Subansiri","280","3.18%"
"Arunachal Pradesh","West Kameng","409","4.65%"
"Arunachal Pradesh","West Siang","698","7.93%"
