"State","District","Total Demographic","Percentage"
"Assam","Bajali","182","0.08%"
"Assam","Baksa","3689","1.59%"
"Assam","Barpeta","11597","5.01%"
"Assam","Biswanath","2224","0.96%"
"Assam","Bongaigaon","7221","3.12%"
"Assam","Cachar","13789","5.95%"
"Assam","Charaideo","2558","1.10%"
"Assam","Chirang","3011","1.30%"
"Assam","Darrang","6785","2.93%"
"Assam","Dhemaji","4616","1.99%"
"Assam","Dhubri","16010","6.91%"
"Assam","Dibrugarh","5951","2.57%"
"Assam","Goalpara","10381","4.48%"
"Assam","Golaghat","6134","2.65%"
"Assam","Hailakandi","4630","2.00%"
"Assam","Hojai","7400","3.19%"
"Assam","Jorhat","4595","1.98%"
"Assam","Kamrup","9941","4.29%"
"Assam","Kamrup Metro","5743","2.48%"
"Assam","Karbi Anglong","9460","4.08%"
"Assam","Karimganj","8513","3.68%"
"Assam","Kokrajhar","4853","2.10%"
"Assam","Lakhimpur","9194","3.97%"
"Assam","Majuli","785","0.34%"
"Assam","Marigaon","10742","4.64%"
"Assam","Nagaon","25753","11.12%"
"Assam","Nalbari","3940","1.70%"
"Assam","North Cachar Hills","1008","0.44%"
"Assam","Sibsagar","2983","1.29%"
"Assam","Sonitpur","9588","4.14%"
"Assam","South Salmara Mankachar","5670","2.45%"
"Assam","Sribhumi","1038","0.45%"
"Assam","Tamulpur District","241","0.10%"
"Assam","Tinsukia","7539","3.25%"
"Assam","Udalguri","3627","1.57%"
"Assam","West Karbi Anglong","232","0.10%"
