"State","District","Total Demographic","Percentage"
"Bihar","Araria","35053","3.09%"
"Bihar","Arwal","6450","0.57%"
"Bihar","Aurangabad","21386","1.89%"
"Bihar","Banka","15452","1.36%"
"Bihar","Begusarai","30797","2.72%"
"Bihar","Bhagalpur","34622","3.05%"
"Bihar","Bhojpur","30837","2.72%"
"Bihar","Buxar","16394","1.45%"
"Bihar","Darbhanga","38096","3.36%"
"Bihar","East Champaran","61417","5.42%"
"Bihar","Gaya","41142","3.63%"
"Bihar","Gopalganj","23687","2.09%"
"Bihar","Jamui","13819","1.22%"
"Bihar","Jehanabad","9884","0.87%"
"Bihar","Kaimur (Bhabua)","17386","1.53%"
"Bihar","Katihar","41014","3.62%"
"Bihar","Khagaria","16994","1.50%"
"Bihar","Kishanganj","33627","2.97%"
"Bihar","Lakhisarai","14459","1.28%"
"Bihar","Madhepura","24230","2.14%"
"Bihar","Madhubani","46284","4.08%"
"Bihar","Munger","14108","1.24%"
"Bihar","Muzaffarpur","48322","4.26%"
"Bihar","Nalanda","37436","3.30%"
"Bihar","Nawada","21360","1.88%"
"Bihar","Patna","61303","5.41%"
"Bihar","Purnea","778","0.07%"
"Bihar","Purnia","35279","3.11%"
"Bihar","Rohtas","26964","2.38%"
"Bihar","Saharsa","18832","1.66%"
"Bihar","Samastipur","51428","4.54%"
"Bihar","Saran","41117","3.63%"
"Bihar","Sheikhpura","7057","0.62%"
"Bihar","Sheohar","7335","0.65%"
"Bihar","Sitamarhi","34375","3.03%"
"Bihar","Siwan","29977","2.64%"
"Bihar","Supaul","27943","2.47%"
"Bihar","Vaishali","37578","3.32%"
"Bihar","West Champaran","59227","5.23%"
