"State","District","Total Demographic","Percentage"
"Chhattisgarh","Balod","12559","2.79%"
"Chhattisgarh","Baloda Bazar","25511","5.66%"
"Chhattisgarh","Balrampur","16905","3.75%"
"Chhattisgarh","Bastar","18904","4.20%"
"Chhattisgarh","Bemetara","12597","2.80%"
"Chhattisgarh","Bijapur","3692","0.82%"
"Chhattisgarh","Bilaspur","37692","8.37%"
"Chhattisgarh","Dakshin Bastar Dantewada","1783","0.40%"
"Chhattisgarh","Dantewada","628","0.14%"
"Chhattisgarh","Dhamtari","7595","1.69%"
"Chhattisgarh","Durg","13497","3.00%"
"Chhattisgarh","Gariyaband","6226","1.38%"
"Chhattisgarh","Gaurela-pendra-marwahi","619","0.14%"
"Chhattisgarh","Janjgir-champa","31836","7.07%"
"Chhattisgarh","Jashpur","18933","4.20%"
"Chhattisgarh","Kabeerdham","5846","1.30%"
"Chhattisgarh","Kanker","5443","1.21%"
"Chhattisgarh","Kawardha","19641","4.36%"
"Chhattisgarh","Khairagarh Chhuikhadan Gandai","931","0.21%"
"Chhattisgarh","Kondagaon","23049","5.12%"
"Chhattisgarh","Korba","16914","3.75%"
"Chhattisgarh","Koriya","6879","1.53%"
"Chhattisgarh","Mahasamund","31075","6.90%"
"Chhattisgarh","Manendragarh?Chirmiri?Bharatpur","1100","0.24%"
"Chhattisgarh","Mohla-Manpur-Ambagarh Chouki","3093","0.69%"
"Chhattisgarh","Mungeli","9443","2.10%"
"Chhattisgarh","Narayanpur","2385","0.53%"
"Chhattisgarh","Raigarh","17834","3.96%"
"Chhattisgarh","Raipur","29264","6.50%"
"Chhattisgarh","Rajnandgaon","32103","7.13%"
"Chhattisgarh","Sakti","2390","0.53%"
"Chhattisgarh","Sarangarh-Bilaigarh","1811","0.40%"
"Chhattisgarh","Sukma","3015","0.67%"
"Chhattisgarh","Surajpur","9332","2.07%"
"Chhattisgarh","Surguja","16344","3.63%"
"Chhattisgarh","Uttar Bastar Kanker","3618","0.80%"
