"State","District","Total Demographic","Percentage"
"Gujarat","Ahmadabad","1845","0.46%"
"Gujarat","Ahmedabad","59251","14.78%"
"Gujarat","Amreli","5084","1.27%"
"Gujarat","Anand","8071","2.01%"
"Gujarat","Arvalli","2088","0.52%"
"Gujarat","Banaskantha","14345","3.58%"
"Gujarat","Bharuch","8463","2.11%"
"Gujarat","Bhavnagar","12498","3.12%"
"Gujarat","Botad","1702","0.42%"
"Gujarat","Chhotaudepur","1645","0.41%"
"Gujarat","Dahod","8995","2.24%"
"Gujarat","Devbhumi Dwarka","1227","0.31%"
"Gujarat","Dohad","1092","0.27%"
"Gujarat","Gandhinagar","15943","3.98%"
"Gujarat","Gir Somnath","2233","0.56%"
"Gujarat","Jamnagar","10187","2.54%"
"Gujarat","Junagadh","9410","2.35%"
"Gujarat","Kachchh","20226","5.04%"
"Gujarat","Kheda","11400","2.84%"
"Gujarat","Mahesana","12018","3.00%"
"Gujarat","Mahisagar","1737","0.43%"
"Gujarat","Morbi","5614","1.40%"
"Gujarat","Narmada","3298","0.82%"
"Gujarat","Navsari","5447","1.36%"
"Gujarat","Panchmahals","8952","2.23%"
"Gujarat","Patan","7606","1.90%"
"Gujarat","Porbandar","3900","0.97%"
"Gujarat","Rajkot","27862","6.95%"
"Gujarat","Sabarkantha","9081","2.26%"
"Gujarat","Surat","69615","17.36%"
"Gujarat","Surendra Nagar","9965","2.49%"
"Gujarat","Surendranagar","226","0.06%"
"Gujarat","Tapi","4427","1.10%"
"Gujarat","The Dangs","1633","0.41%"
"Gujarat","Vadodara","23988","5.98%"
"Gujarat","Valsad","9921","2.47%"
