"State","District","Total Demographic","Percentage"
"Haryana","Ambala","8317","3.24%"
"Haryana","Bhiwani","7556","2.95%"
"Haryana","Charkhi Dadri","1884","0.74%"
"Haryana","Faridabad","24918","9.72%"
"Haryana","Fatehabad","7664","2.99%"
"Haryana","Gurgaon","24752","9.66%"
"Haryana","Hisar","19276","7.52%"
"Haryana","Jhajjar","7958","3.10%"
"Haryana","Jind","9970","3.89%"
"Haryana","Kaithal","12584","4.91%"
"Haryana","Karnal","10395","4.06%"
"Haryana","Kurukshetra","6819","2.66%"
"Haryana","Mahendragarh","5238","2.04%"
"Haryana","Mewat","10659","4.16%"
"Haryana","Palwal","18125","7.07%"
"Haryana","Panchkula","7576","2.96%"
"Haryana","Panipat","19736","7.70%"
"Haryana","Rewari","10189","3.98%"
"Haryana","Rohtak","4817","1.88%"
"Haryana","Sirsa","13068","5.10%"
"Haryana","Sonipat","15146","5.91%"
"Haryana","Yamuna Nagar","9674","3.77%"
