"State","District","Total Demographic","Percentage"
"Himachal Pradesh","Bilaspur","1572","4.42%"
"Himachal Pradesh","Chamba","5562","15.63%"
"Himachal Pradesh","Hamirpur","1494","4.20%"
"Himachal Pradesh","Kangra","8476","23.82%"
"Himachal Pradesh","Kinnaur","294","0.83%"
"Himachal Pradesh","Kullu","2303","6.47%"
"Himachal Pradesh","Mandi","3828","10.76%"
"Himachal Pradesh","Shimla","3487","9.80%"
"Himachal Pradesh","Sirmaur","4415","12.41%"
"Himachal Pradesh","Solan","1910","5.37%"
"Himachal Pradesh","Una","2246","6.31%"
