"State","District","Total Demographic","Percentage"
"Jammu and Kashmir","Anantnag","5904","6.76%"
"Jammu and Kashmir","Badgam","3278","3.76%"
"Jammu and Kashmir","Bandipore","2661","3.05%"
"Jammu and Kashmir","Baramula","8313","9.53%"
"Jammu and Kashmir","Budgam","3406","3.90%"
"Jammu and Kashmir","Doda","2560","2.93%"
"Jammu and Kashmir","Ganderbal","1076","1.23%"
"Jammu and Kashmir","Jammu","7527","8.62%"
"Jammu and Kashmir","Kargil","372","0.43%"
"Jammu and Kashmir","Kathua","4857","5.57%"
"Jammu and Kashmir","Kishtwar","1045","1.20%"
"Jammu and Kashmir","Kulgam","2445","2.80%"
"Jammu and Kashmir","Kupwara","9944","11.39%"
"Jammu and Kashmir","Leh","569","0.65%"
"Jammu and Kashmir","Pulwama","3078","3.53%"
"Jammu and Kashmir","Punch","7285","8.35%"
"Jammu and Kashmir","Rajouri","3174","3.64%"
"Jammu and Kashmir","Ramban","1830","2.10%"
"Jammu and Kashmir","Reasi","1365","1.56%"
"Jammu and Kashmir","Samba","1228","1.41%"
"Jammu and Kashmir","Shupiyan","1142","1.31%"
"Jammu and Kashmir","Srinagar","10300","11.80%"
"Jammu and Kashmir","Udhampur","3915","4.49%"
