"State","District","Total Demographic","Percentage"
"Jharkhand","Bokaro","13627","4.12%"
"Jharkhand","Chatra","16967","5.13%"
"Jharkhand","Deoghar","14783","4.47%"
"Jharkhand","Dhanbad","20310","6.14%"
"Jharkhand","Dumka","17155","5.18%"
"Jharkhand","East Singhbhum","15226","4.60%"
"Jharkhand","Garhwa","9804","2.96%"
"Jharkhand","Garhwa *","553","0.17%"
"Jharkhand","Giridih","17830","5.39%"
"Jharkhand","Godda","15753","4.76%"
"Jharkhand","Gumla","12947","3.91%"
"Jharkhand","Hazaribag","1617","0.49%"
"Jharkhand","Hazaribagh","13875","4.19%"
"Jharkhand","Jamtara","14798","4.47%"
"Jharkhand","Khunti","7004","2.12%"
"Jharkhand","Kodarma","568","0.17%"
"Jharkhand","Koderma","2944","0.89%"
"Jharkhand","Latehar","8603","2.60%"
"Jharkhand","Lohardaga","2841","0.86%"
"Jharkhand","Pakaur","1454","0.44%"
"Jharkhand","Pakur","13678","4.13%"
"Jharkhand","Palamau","634","0.19%"
"Jharkhand","Palamu","25679","7.76%"
"Jharkhand","Pashchimi Singhbhum","3003","0.91%"
"Jharkhand","Purbi Singhbhum","1236","0.37%"
"Jharkhand","Ramgarh","10521","3.18%"
"Jharkhand","Ranchi","25735","7.77%"
"Jharkhand","Sahebganj","9463","2.86%"
"Jharkhand","Sahibganj","1184","0.36%"
"Jharkhand","Seraikela-Kharsawan","7023","2.12%"
"Jharkhand","Simdega","8049","2.43%"
"Jharkhand","West Singhbhum","16177","4.89%"
