"State","District","Total Demographic","Percentage"
"Karnataka","Bagalkot","10587","2.78%"
"Karnataka","Bagalkot *","296","0.08%"
"Karnataka","Ballari","4490","1.18%"
"Karnataka","Bangalore","13751","3.61%"
"Karnataka","Bangalore Rural","11707","3.07%"
"Karnataka","Belagavi","12112","3.18%"
"Karnataka","Belgaum","14292","3.75%"
"Karnataka","Bellary","7411","1.94%"
"Karnataka","Bengaluru","74969","19.67%"
"Karnataka","Bengaluru South","768","0.20%"
"Karnataka","Bidar","8536","2.24%"
"Karnataka","Bijapur","6910","1.81%"
"Karnataka","Chamarajanagar","287","0.08%"
"Karnataka","Chamrajanagar","3512","0.92%"
"Karnataka","Chamrajnagar","441","0.12%"
"Karnataka","Chickmagalur","2632","0.69%"
"Karnataka","Chikkaballapur","6886","1.81%"
"Karnataka","Chikkamagaluru","1811","0.48%"
"Karnataka","Chitradurga","8077","2.12%"
"Karnataka","Dakshina Kannada","12222","3.21%"
"Karnataka","Davanagere","941","0.25%"
"Karnataka","Davangere","8049","2.11%"
"Karnataka","Dharwad","12533","3.29%"
"Karnataka","Gadag","7571","1.99%"
"Karnataka","Gulbarga","5588","1.47%"
"Karnataka","Hasan","2123","0.56%"
"Karnataka","Hassan","9620","2.52%"
"Karnataka","Haveri","10927","2.87%"
"Karnataka","Kalaburagi","8041","2.11%"
"Karnataka","Kodagu","2777","0.73%"
"Karnataka","Kolar","10207","2.68%"
"Karnataka","Koppal","8353","2.19%"
"Karnataka","Mandya","9805","2.57%"
"Karnataka","Mysore","5044","1.32%"
"Karnataka","Mysuru","8249","2.16%"
"Karnataka","Raichur","12012","3.15%"
"Karnataka","Ramanagar","7150","1.88%"
"Karnataka","Shimoga","3801","1.00%"
"Karnataka","Shivamogga","4201","1.10%"
"Karnataka","Tumakuru","5953","1.56%"
"Karnataka","Tumkur","6245","1.64%"
"Karnataka","Udupi","6296","1.65%"
"Karnataka","Uttara Kannada","7000","1.84%"
"Karnataka","Vijayanagara","2849","0.75%"
"Karnataka","Vijayapura","6954","1.82%"
"Karnataka","Yadgir","7195","1.89%"
