"State","District","Total Demographic","Percentage"
"Kerala","Alappuzha","8383","4.76%"
"Kerala","Ernakulam","15823","8.98%"
"Kerala","Idukki","3536","2.01%"
"Kerala","Kannur","13830","7.85%"
"Kerala","Kasaragod","8003","4.54%"
"Kerala","Kasargod","466","0.26%"
"Kerala","Kollam","13115","7.45%"
"Kerala","Kottayam","7075","4.02%"
"Kerala","Kozhikode","21523","12.22%"
"Kerala","Malappuram","35209","19.99%"
"Kerala","Palakkad","11440","6.49%"
"Kerala","Pathanamthitta","4992","2.83%"
"Kerala","Thiruvananthapuram","15463","8.78%"
"Kerala","Thrissur","13604","7.72%"
"Kerala","Wayanad","3689","2.09%"
