"State","District","Total Demographic","Percentage"
"Madhya Pradesh","Agar Malwa","1606","0.26%"
"Madhya Pradesh","Alirajpur","3704","0.61%"
"Madhya Pradesh","Anuppur","5081","0.83%"
"Madhya Pradesh","Ashok Nagar","8520","1.40%"
"Madhya Pradesh","Balaghat","15234","2.50%"
"Madhya Pradesh","Barwani","18427","3.02%"
"Madhya Pradesh","Betul","11803","1.94%"
"Madhya Pradesh","Bhind","14486","2.38%"
"Madhya Pradesh","Bhopal","15117","2.48%"
"Madhya Pradesh","Burhanpur","3355","0.55%"
"Madhya Pradesh","Chhatarpur","13669","2.24%"
"Madhya Pradesh","Chhindwara","14109","2.31%"
"Madhya Pradesh","Damoh","9658","1.58%"
"Madhya Pradesh","Datia","8490","1.39%"
"Madhya Pradesh","Dewas","9802","1.61%"
"Madhya Pradesh","Dhar","19867","3.26%"
"Madhya Pradesh","Dindori","11566","1.90%"
"Madhya Pradesh","East Nimar","1845","0.30%"
"Madhya Pradesh","Guna","16077","2.64%"
"Madhya Pradesh","Gwalior","16358","2.68%"
"Madhya Pradesh","Harda","2277","0.37%"
"Madhya Pradesh","Harda *","384","0.06%"
"Madhya Pradesh","Hoshangabad","2115","0.35%"
"Madhya Pradesh","Indore","35338","5.79%"
"Madhya Pradesh","Jabalpur","16050","2.63%"
"Madhya Pradesh","Jhabua","9515","1.56%"
"Madhya Pradesh","Katni","11380","1.87%"
"Madhya Pradesh","Khandwa","4413","0.72%"
"Madhya Pradesh","Khargone","7389","1.21%"
"Madhya Pradesh","Maihar","685","0.11%"
"Madhya Pradesh","Mandla","7985","1.31%"
"Madhya Pradesh","Mandsaur","10482","1.72%"
"Madhya Pradesh","Mauganj","645","0.11%"
"Madhya Pradesh","Morena","26936","4.42%"
"Madhya Pradesh","Narmadapuram","1361","0.22%"
"Madhya Pradesh","Narsimhapur","967","0.16%"
"Madhya Pradesh","Narsinghpur","5794","0.95%"
"Madhya Pradesh","Neemuch","6491","1.06%"
"Madhya Pradesh","Niwari","394","0.06%"
"Madhya Pradesh","Panna","13183","2.16%"
"Madhya Pradesh","Raisen","8755","1.44%"
"Madhya Pradesh","Rajgarh","9728","1.60%"
"Madhya Pradesh","Ratlam","18222","2.99%"
"Madhya Pradesh","Rewa","24184","3.97%"
"Madhya Pradesh","Sagar","16389","2.69%"
"Madhya Pradesh","Satna","15060","2.47%"
"Madhya Pradesh","Sehore","7204","1.18%"
"Madhya Pradesh","Seoni","17560","2.88%"
"Madhya Pradesh","Shahdol","11193","1.84%"
"Madhya Pradesh","Shajapur","7220","1.18%"
"Madhya Pradesh","Sheopur","5249","0.86%"
"Madhya Pradesh","Shivpuri","18840","3.09%"
"Madhya Pradesh","Sidhi","12034","1.97%"
"Madhya Pradesh","Singrauli","10236","1.68%"
"Madhya Pradesh","Tikamgarh","11650","1.91%"
"Madhya Pradesh","Ujjain","17242","2.83%"
"Madhya Pradesh","Umaria","3721","0.61%"
"Madhya Pradesh","Vidisha","12333","2.02%"
"Madhya Pradesh","West Nimar","468","0.08%"
