"State","District","Total Demographic","Percentage"
"Maharashtra","Ahmadnagar","49973","4.28%"
"Maharashtra","Ahmed Nagar","1383","0.12%"
"Maharashtra","Akola","13879","1.19%"
"Maharashtra","Amravati","19262","1.65%"
"Maharashtra","Aurangabad","39227","3.36%"
"Maharashtra","Beed","42554","3.65%"
"Maharashtra","Bhandara","10284","0.88%"
"Maharashtra","Bid","3436","0.29%"
"Maharashtra","Buldana","5344","0.46%"
"Maharashtra","Buldhana","29159","2.50%"
"Maharashtra","Chandrapur","22761","1.95%"
"Maharashtra","Chatrapati Sambhaji Nagar","654","0.06%"
"Maharashtra","Chhatrapati Sambhajinagar","3057","0.26%"
"Maharashtra","Dharashiv","831","0.07%"
"Maharashtra","Dhule","14616","1.25%"
"Maharashtra","Gadchiroli","12670","1.09%"
"Maharashtra","Gondiya","17423","1.49%"
"Maharashtra","Hingoli","26268","2.25%"
"Maharashtra","Jalgaon","35883","3.07%"
"Maharashtra","Jalna","20587","1.76%"
"Maharashtra","Kolhapur","28105","2.41%"
"Maharashtra","Latur","32423","2.78%"
"Maharashtra","Mumbai","31030","2.66%"
"Maharashtra","Mumbai City","11077","0.95%"
"Maharashtra","Mumbai Suburban","39136","3.35%"
"Maharashtra","Mumbai( Sub Urban )","845","0.07%"
"Maharashtra","Nagpur","38498","3.30%"
"Maharashtra","Nanded","58839","5.04%"
"Maharashtra","Nandurbar","10059","0.86%"
"Maharashtra","Nashik","53103","4.55%"
"Maharashtra","Osmanabad","23381","2.00%"
"Maharashtra","Palghar","29662","2.54%"
"Maharashtra","Parbhani","32923","2.82%"
"Maharashtra","Pune","94555","8.10%"
"Maharashtra","Raigad","9065","0.78%"
"Maharashtra","Raigarh","20519","1.76%"
"Maharashtra","Ratnagiri","13292","1.14%"
"Maharashtra","Sangli","19404","1.66%"
"Maharashtra","Satara","24662","2.11%"
"Maharashtra","Sindhudurg","6323","0.54%"
"Maharashtra","Solapur","62626","5.37%"
"Maharashtra","Thane","91357","7.83%"
"Maharashtra","Wardha","8477","0.73%"
"Maharashtra","Washim","14424","1.24%"
"Maharashtra","Yavatmal","44156","3.78%"
