"State","District","Total Demographic","Percentage"
"Meghalaya","East Garo Hills","1710","7.55%"
"Meghalaya","East Jaintia Hills","433","1.91%"
"Meghalaya","East Khasi Hills","5011","22.13%"
"Meghalaya","Eastern West Khasi Hills","101","0.45%"
"Meghalaya","North Garo Hills","1717","7.58%"
"Meghalaya","Ri Bhoi","2022","8.93%"
"Meghalaya","South Garo Hills","458","2.02%"
"Meghalaya","South West Garo Hills","2026","8.95%"
"Meghalaya","South West Khasi Hills","1143","5.05%"
"Meghalaya","West Garo Hills","4230","18.68%"
"Meghalaya","West Jaintia Hills","639","2.82%"
"Meghalaya","West Khasi Hills","3154","13.93%"
