"State","District","Total Demographic","Percentage"
"Nagaland","Chumukedima","493","5.59%"
"Nagaland","Dimapur","2239","25.38%"
"Nagaland","Kiphire","283","3.21%"
"Nagaland","Kohima","1061","12.03%"
"Nagaland","Longleng","311","3.53%"
"Nagaland","Mokokchung","445","5.04%"
"Nagaland","Mon","982","11.13%"
"Nagaland","Niuland","206","2.34%"
"Nagaland","Peren","360","4.08%"
"Nagaland","Phek","320","3.63%"
"Nagaland","Shamator","136","1.54%"
"Nagaland","Tuensang","1330","15.08%"
"Nagaland","Wokha","184","2.09%"
"Nagaland","Zunheboto","472","5.35%"
