"State","District","Total Demographic","Percentage"
"Odisha","Angul","6643","2.59%"
"Odisha","Anugul","407","0.16%"
"Odisha","Balangir","10557","4.11%"
"Odisha","Baleshwar","2396","0.93%"
"Odisha","Baleswar","10002","3.90%"
"Odisha","Bargarh","7737","3.01%"
"Odisha","Baudh","270","0.11%"
"Odisha","Bhadrak","9267","3.61%"
"Odisha","Boudh","2377","0.93%"
"Odisha","Cuttack","11239","4.38%"
"Odisha","Debagarh","2154","0.84%"
"Odisha","Dhenkanal","6205","2.42%"
"Odisha","Gajapati","6235","2.43%"
"Odisha","Ganjam","21413","8.34%"
"Odisha","Jagatsinghapur","3495","1.36%"
"Odisha","Jagatsinghpur","1375","0.54%"
"Odisha","Jajapur","6207","2.42%"
"Odisha","JAJPUR","3012","1.17%"
"Odisha","Jharsuguda","2658","1.04%"
"Odisha","Kalahandi","10994","4.28%"
"Odisha","Kandhamal","8420","3.28%"
"Odisha","Kendrapara","9897","3.85%"
"Odisha","Kendujhar","14508","5.65%"
"Odisha","Khorda","9432","3.67%"
"Odisha","Khordha","1096","0.43%"
"Odisha","Koraput","10895","4.24%"
"Odisha","Malkangiri","4187","1.63%"
"Odisha","Mayurbhanj","15791","6.15%"
"Odisha","Nabarangapur","11673","4.55%"
"Odisha","Nayagarh","4410","1.72%"
"Odisha","NUAPADA","4362","1.70%"
"Odisha","Puri","6391","2.49%"
"Odisha","Rayagada","7678","2.99%"
"Odisha","Sambalpur","7147","2.78%"
"Odisha","Sonapur","2618","1.02%"
"Odisha","Subarnapur","948","0.37%"
"Odisha","Sundargarh","1843","0.72%"
"Odisha","Sundergarh","10831","4.22%"
