"State","District","Total Demographic","Percentage"
"Punjab","Amritsar","24729","11.75%"
"Punjab","Barnala","2462","1.17%"
"Punjab","Bathinda","7510","3.57%"
"Punjab","Faridkot","2775","1.32%"
"Punjab","Fatehgarh Sahib","3665","1.74%"
"Punjab","Fazilka","7528","3.58%"
"Punjab","Ferozepur","5520","2.62%"
"Punjab","Firozpur","1477","0.70%"
"Punjab","Gurdaspur","20933","9.95%"
"Punjab","Hoshiarpur","10666","5.07%"
"Punjab","Jalandhar","14902","7.08%"
"Punjab","Kapurthala","3048","1.45%"
"Punjab","Ludhiana","29090","13.82%"
"Punjab","Malerkotla","3586","1.70%"
"Punjab","Mansa","4216","2.00%"
"Punjab","Moga","3665","1.74%"
"Punjab","Muktsar","908","0.43%"
"Punjab","Nawanshahr","720","0.34%"
"Punjab","Pathankot","2869","1.36%"
"Punjab","Patiala","23262","11.05%"
"Punjab","Rupnagar","4369","2.08%"
"Punjab","S.A.S Nagar(Mohali)","575","0.27%"
"Punjab","Sangrur","7293","3.47%"
"Punjab","SAS Nagar (Mohali)","12099","5.75%"
"Punjab","Shaheed Bhagat Singh Nagar","1799","0.85%"
"Punjab","Sri Muktsar Sahib","3973","1.89%"
"Punjab","Tarn Taran","6831","3.25%"
