"State","District","Total Demographic"
"Rajasthan","Ajmer","124036"
"Rajasthan","Alwar","144744"
"Rajasthan","Balotra","503"
"Rajasthan","Banswara","101294"
"Rajasthan","Baran","78758"
"Rajasthan","Barmer","111721"
"Rajasthan","Beawar","510"
"Rajasthan","Bharatpur","105063"
"Rajasthan","Bhilwara","97739"
"Rajasthan","Bikaner","81652"
"Rajasthan","Bundi","48701"
"Rajasthan","Chittaurgarh","2065"
"Rajasthan","Chittorgarh","61824"
"Rajasthan","Churu","76097"
"Rajasthan","Dausa","50267"
"Rajasthan","Deeg","248"
"Rajasthan","Deeg?","1051"
"Rajasthan","Dhaulpur","488"
"Rajasthan","Dholpur","77555"
"Rajasthan","Didwana-Kuchaman","720"
"Rajasthan","Dungarpur","95308"
"Rajasthan","Ganganagar","69218"
"Rajasthan","Hanumangarh","77237"
"Rajasthan","Jaipur","275340"
"Rajasthan","Jaisalmer","21384"
"Rajasthan","Jalor","66690"
"Rajasthan","Jalore","1036"
"Rajasthan","Jhalawar","81092"
"Rajasthan","Jhunjhunu","2742"
"Rajasthan","Jhunjhunun","54652"
"Rajasthan","Jodhpur","139970"
"Rajasthan","Karauli","58446"
"Rajasthan","Khairthal-Tijara","1057"
"Rajasthan","Kota","93066"
"Rajasthan","Kotputli-Behror","529"
"Rajasthan","Nagaur","103427"
"Rajasthan","Pali","66337"
"Rajasthan","Phalodi","204"
"Rajasthan","Pratapgarh","48556"
"Rajasthan","Rajsamand","47170"
"Rajasthan","Salumbar","213"
"Rajasthan","Sawai Madhopur","45155"
"Rajasthan","Sikar","78337"
"Rajasthan","Sirohi","41293"
"Rajasthan","Tonk","56628"
"Rajasthan","Udaipur","127492"
