"State","District","Total Demographic","Percentage"
"Tamil Nadu","Ariyalur","5471","1.06%"
"Tamil Nadu","Chengalpattu","5506","1.07%"
"Tamil Nadu","Chennai","33919","6.57%"
"Tamil Nadu","Coimbatore","29280","5.67%"
"Tamil Nadu","Cuddalore","17410","3.37%"
"Tamil Nadu","Dharmapuri","10260","1.99%"
"Tamil Nadu","Dindigul","11373","2.20%"
"Tamil Nadu","Erode","14331","2.78%"
"Tamil Nadu","Kallakurichi","2789","0.54%"
"Tamil Nadu","Kancheepuram","33950","6.58%"
"Tamil Nadu","Kanniyakumari","9207","1.78%"
"Tamil Nadu","Kanyakumari","4526","0.88%"
"Tamil Nadu","Karur","6435","1.25%"
"Tamil Nadu","Krishnagiri","14440","2.80%"
"Tamil Nadu","Madurai","22496","4.36%"
"Tamil Nadu","Mayiladuthurai","697","0.14%"
"Tamil Nadu","Nagapattinam","9238","1.79%"
"Tamil Nadu","Namakkal","9930","1.92%"
"Tamil Nadu","Perambalur","3909","0.76%"
"Tamil Nadu","Pudukkottai","13244","2.57%"
"Tamil Nadu","Ramanathapuram","8253","1.60%"
"Tamil Nadu","Ranipet","311","0.06%"
"Tamil Nadu","Salem","26543","5.14%"
"Tamil Nadu","Sivaganga","9828","1.90%"
"Tamil Nadu","Tenkasi","2198","0.43%"
"Tamil Nadu","Thanjavur","18040","3.49%"
"Tamil Nadu","The Nilgiris","3990","0.77%"
"Tamil Nadu","Theni","9640","1.87%"
"Tamil Nadu","Thiruvallur","465","0.09%"
"Tamil Nadu","Thiruvarur","8665","1.68%"
"Tamil Nadu","Thoothukkudi","10894","2.11%"
"Tamil Nadu","Tiruchirappalli","16022","3.10%"
"Tamil Nadu","Tirunelveli","19565","3.79%"
"Tamil Nadu","Tirupattur","2306","0.45%"
"Tamil Nadu","Tiruppur","18149","3.52%"
"Tamil Nadu","Tiruvallur","32610","6.32%"
"Tamil Nadu","Tiruvannamalai","17101","3.31%"
"Tamil Nadu","Vellore","21203","4.11%"
"Tamil Nadu","Villupuram","9636","1.87%"
"Tamil Nadu","Viluppuram","8501","1.65%"
"Tamil Nadu","Virudhunagar","13845","2.68%"
