"State","District","Total Demographic","Percentage"
"Telangana","Adilabad","10491","2.63%"
"Telangana","Bhadradri Kothagudem","7283","1.83%"
"Telangana","Hanumakonda","3838","0.96%"
"Telangana","Hyderabad","50367","12.64%"
"Telangana","Jagitial","4206","1.06%"
"Telangana","Jangaon","222","0.06%"
"Telangana","Jangoan","3664","0.92%"
"Telangana","Jayashankar Bhupalpally","3161","0.79%"
"Telangana","Jogulamba Gadwal","8779","2.20%"
"Telangana","K.v. Rangareddy","48608","12.20%"
"Telangana","Kamareddy","6560","1.65%"
"Telangana","Karimnagar","18438","4.63%"
"Telangana","Khammam","13738","3.45%"
"Telangana","Komaram Bheem","7962","2.00%"
"Telangana","Mahabubabad","4663","1.17%"
"Telangana","Mahabubnagar","21308","5.35%"
"Telangana","Mancherial","5920","1.49%"
"Telangana","Medak","14178","3.56%"
"Telangana","Medchal-malkajgiri","22689","5.69%"
"Telangana","Medchal?malkajgiri","473","0.12%"
"Telangana","Mulugu","2589","0.65%"
"Telangana","Nagarkurnool","5518","1.38%"
"Telangana","Nalgonda","21089","5.29%"
"Telangana","Narayanpet","3705","0.93%"
"Telangana","Nirmal","7487","1.88%"
"Telangana","Nizamabad","15889","3.99%"
"Telangana","Peddapalli","2435","0.61%"
"Telangana","Rajanna Sircilla","3264","0.82%"
"Telangana","Rangareddy","975","0.24%"
"Telangana","Sangareddy","6450","1.62%"
"Telangana","Siddipet","8942","2.24%"
"Telangana","Suryapet","12672","3.18%"
"Telangana","Vikarabad","16806","4.22%"
"Telangana","Wanaparthy","8090","2.03%"
"Telangana","Warangal","7309","1.83%"
"Telangana","Warangal Rural","4360","1.09%"
"Telangana","Warangal Urban","2806","0.70%"
"Telangana","Yadadri.","11507","2.89%"
