"State","District","Total Demographic","Percentage"
"Uttar Pradesh","Agra","38614","1.95%"
"Uttar Pradesh","Aligarh","43036","2.17%"
"Uttar Pradesh","Allahabad","40679","2.06%"
"Uttar Pradesh","Ambedkar Nagar","18641","0.94%"
"Uttar Pradesh","Amethi","21480","1.09%"
"Uttar Pradesh","Amroha","21165","1.07%"
"Uttar Pradesh","Auraiya","12102","0.61%"
"Uttar Pradesh","Ayodhya","4469","0.23%"
"Uttar Pradesh","Azamgarh","42792","2.16%"
"Uttar Pradesh","Baghpat","14680","0.74%"
"Uttar Pradesh","Bahraich","30992","1.57%"
"Uttar Pradesh","Ballia","24405","1.23%"
"Uttar Pradesh","Balrampur","15467","0.78%"
"Uttar Pradesh","Banda","17003","0.86%"
"Uttar Pradesh","Bara Banki","23760","1.20%"
"Uttar Pradesh","Barabanki","1300","0.07%"
"Uttar Pradesh","Bareilly","61342","3.10%"
"Uttar Pradesh","Basti","21667","1.09%"
"Uttar Pradesh","Bhadohi","2566","0.13%"
"Uttar Pradesh","Bijnor","54943","2.78%"
"Uttar Pradesh","Budaun","38296","1.94%"
"Uttar Pradesh","Bulandshahr","37837","1.91%"
"Uttar Pradesh","Chandauli","21309","1.08%"
"Uttar Pradesh","Chitrakoot","9606","0.49%"
"Uttar Pradesh","Deoria","25630","1.30%"
"Uttar Pradesh","Etah","14324","0.72%"
"Uttar Pradesh","Etawah","11665","0.59%"
"Uttar Pradesh","Faizabad","18771","0.95%"
"Uttar Pradesh","Farrukhabad","15566","0.79%"
"Uttar Pradesh","Fatehpur","23063","1.17%"
"Uttar Pradesh","Firozabad","19897","1.01%"
"Uttar Pradesh","Gautam Buddha Nagar","32725","1.65%"
"Uttar Pradesh","Ghaziabad","48454","2.45%"
"Uttar Pradesh","Ghazipur","26136","1.32%"
"Uttar Pradesh","Gonda","35873","1.81%"
"Uttar Pradesh","Gorakhpur","38225","1.93%"
"Uttar Pradesh","Hamirpur","11247","0.57%"
"Uttar Pradesh","Hapur","7819","0.40%"
"Uttar Pradesh","Hardoi","34559","1.75%"
"Uttar Pradesh","Hathras","16751","0.85%"
"Uttar Pradesh","Jalaun","13787","0.70%"
"Uttar Pradesh","Jaunpur","36535","1.85%"
"Uttar Pradesh","Jhansi","20276","1.02%"
"Uttar Pradesh","Kannauj","12183","0.62%"
"Uttar Pradesh","Kanpur Dehat","17336","0.88%"
"Uttar Pradesh","Kanpur Nagar","41256","2.08%"
"Uttar Pradesh","Kasganj","12153","0.61%"
"Uttar Pradesh","Kaushambi","17226","0.87%"
"Uttar Pradesh","Kheri","39067","1.97%"
"Uttar Pradesh","Kushinagar","55460","2.80%"
"Uttar Pradesh","Lalitpur","8976","0.45%"
"Uttar Pradesh","Lucknow","50781","2.57%"
"Uttar Pradesh","Maharajganj","26460","1.34%"
"Uttar Pradesh","Mahoba","8249","0.42%"
"Uttar Pradesh","Mainpuri","17430","0.88%"
"Uttar Pradesh","Mathura","31914","1.61%"
"Uttar Pradesh","Mau","16130","0.82%"
"Uttar Pradesh","Meerut","46778","2.36%"
"Uttar Pradesh","Mirzapur","25850","1.31%"
"Uttar Pradesh","Moradabad","24126","1.22%"
"Uttar Pradesh","Muzaffarnagar","20332","1.03%"
"Uttar Pradesh","Pilibhit","26432","1.34%"
"Uttar Pradesh","Pratapgarh","26244","1.33%"
"Uttar Pradesh","Prayagraj","7079","0.36%"
"Uttar Pradesh","Rae Bareli","21222","1.07%"
"Uttar Pradesh","Rampur","41880","2.12%"
"Uttar Pradesh","Saharanpur","35554","1.80%"
"Uttar Pradesh","Sambhal","19734","1.00%"
"Uttar Pradesh","Sant Kabir Nagar","16275","0.82%"
"Uttar Pradesh","Sant Ravidas Nagar","11731","0.59%"
"Uttar Pradesh","Shahjahanpur","32774","1.66%"
"Uttar Pradesh","Shamli","17558","0.89%"
"Uttar Pradesh","Shrawasti","13934","0.70%"
"Uttar Pradesh","Siddharthnagar","21855","1.10%"
"Uttar Pradesh","Sitapur","36962","1.87%"
"Uttar Pradesh","Sonbhadra","22666","1.15%"
"Uttar Pradesh","Sultanpur","21919","1.11%"
"Uttar Pradesh","Unnao","27004","1.36%"
"Uttar Pradesh","Varanasi","36843","1.86%"
