"State","District","Total Demographic","Percentage"
"Uttarakhand","Almora","3813","4.08%"
"Uttarakhand","Bageshwar","2154","2.30%"
"Uttarakhand","Chamoli","2737","2.93%"
"Uttarakhand","Champawat","3283","3.51%"
"Uttarakhand","Dehradun","14841","15.87%"
"Uttarakhand","Hardwar","283","0.30%"
"Uttarakhand","Haridwar","12898","13.80%"
"Uttarakhand","Nainital","6144","6.57%"
"Uttarakhand","Pauri Garhwal","6859","7.34%"
"Uttarakhand","Pithoragarh","3958","4.23%"
"Uttarakhand","Rudraprayag","2240","2.40%"
"Uttarakhand","Tehri Garhwal","8397","8.98%"
"Uttarakhand","Udham Singh Nagar","23574","25.21%"
"Uttarakhand","Uttarkashi","2314","2.47%"
