"State","District","Total Demographic","Percentage"
"West Bengal","Alipurduar","2240","0.25%"
"West Bengal","Bankura","35608","3.94%"
"West Bengal","Barddhaman","40124","4.44%"
"West Bengal","Bardhaman","5548","0.61%"
"West Bengal","Birbhum","34497","3.82%"
"West Bengal","Cooch Behar","33590","3.72%"
"West Bengal","Dakshin Dinajpur","20687","2.29%"
"West Bengal","Darjeeling","11548","1.28%"
"West Bengal","Darjiling","1990","0.22%"
"West Bengal","East Midnapore","6123","0.68%"
"West Bengal","Haora","10351","1.15%"
"West Bengal","Hooghly","42237","4.67%"
"West Bengal","Howrah","27165","3.01%"
"West Bengal","Jalpaiguri","50942","5.64%"
"West Bengal","Jhargram","1564","0.17%"
"West Bengal","Kalimpong","541","0.06%"
"West Bengal","Koch Bihar","21685","2.40%"
"West Bengal","Kolkata","23777","2.63%"
"West Bengal","MALDA","39111","4.33%"
"West Bengal","Maldah","5477","0.61%"
"West Bengal","Murshidabad","87041","9.63%"
"West Bengal","Nadia","50877","5.63%"
"West Bengal","North 24 Parganas","65518","7.25%"
"West Bengal","North Dinajpur","1245","0.14%"
"West Bengal","North Twenty Four Parganas","4410","0.49%"
"West Bengal","Paschim Bardhaman","3298","0.36%"
"West Bengal","Paschim Medinipur","45052","4.98%"
"West Bengal","Purba Bardhaman","5447","0.60%"
"West Bengal","Purba Medinipur","22696","2.51%"
"West Bengal","Purulia","1722","0.19%"
"West Bengal","Puruliya","31821","3.52%"
"West Bengal","South 24 Parganas","89250","9.87%"
"West Bengal","South Dinajpur","1522","0.17%"
"West Bengal","South Twenty Four Parganas","9375","1.04%"
"West Bengal","Uttar Dinajpur","63931","7.07%"
"West Bengal","West Midnapore","5841","0.65%"
