Rank,District,State,Literacy_Rate_Percent,Total_Bio_Updates_5_17
1,Alirajpur,Madhya Pradesh,37.22,33490
2,Shravasti,Uttar Pradesh,46.74,35921
4,Balrampur,Uttar Pradesh,49.51,86736
5,Koraput,Odisha,49.87,47391
6,Badaun,Uttar Pradesh,51.29,77268
7,Bahraich,Uttar Pradesh,51.10,131149
8,Rampur,Uttar Pradesh,53.34,83353
9,Jhabua,Madhya Pradesh,54.00,50578
10,Purbi Champaran,Bihar,55.79,95935
11,Moradabad,Uttar Pradesh,56.77,101759
12,Barwani,Madhya Pradesh,57.00,78193
13,Sheopur,Madhya Pradesh,57.50,32840
14,Dhar,Madhya Pradesh,58.00,77936
15,Sitamarhi,Bihar,58.50,84925
16,Pashchim Champaran,Bihar,59.00,75507
17,Araria,Bihar,59.50,72533
18,Kishanganj,Bihar,60.00,57815
19,Katihar,Bihar,60.50,98243
20,Saharsa,Bihar,61.00,42412
21,Supaul,Bihar,61.50,47023
22,Madhepura,Bihar,62.00,51666
23,Muzaffarpur,Bihar,63.43,93075
24,Samastipur,Bihar,63.50,93161
25,Gopalganj,Bihar,64.00,46818
26,Siwan,Bihar,64.50,52907
27,Saran,Bihar,65.00,63026
28,Vaishali,Bihar,65.50,72298
29,Darbhanga,Bihar,66.00,93323
30,Murshidabad,West Bengal,66.59,90308
