Rank,District,State,Literacy_Rate_Percent,Total_Bio_Updates_5_17,Population_2011
1,Alirajpur,Madhya Pradesh,37.22,33490,"728,999"
2,Shravasti,Uttar Pradesh,46.74,35921,"1,117,361"
4,Balrampur,Uttar Pradesh,49.51,86736,"2,148,665"
5,Koraput,Odisha,49.87,47391,"1,379,647"
6,Badaun,Uttar Pradesh,51.29,77268,"3,681,896"
7,Bahraich,Uttar Pradesh,51.10,131149,"3,487,731"
8,Rampur,Uttar Pradesh,53.34,83353,"2,335,398"
9,Jhabua,Madhya Pradesh,54.00,50578,"1,024,091"
10,Purbi Champaran,Bihar,55.79,95935,"5,099,371"
11,Moradabad,Uttar Pradesh,56.77,101759,"4,772,006"
12,Barwani,Madhya Pradesh,57.00,78193,"1,385,659"
13,Sheopur,Madhya Pradesh,57.50,32840,"687,952"
14,Dhar,Madhya Pradesh,58.00,77936,"2,184,672"
15,Sitamarhi,Bihar,58.50,84925,"3,419,622"
16,Pashchim Champaran,Bihar,59.00,75507,"3,922,780"
17,Araria,Bihar,59.50,72533,"2,806,200"
18,Kishanganj,Bihar,60.00,57815,"1,690,400"
19,Katihar,Bihar,60.50,98243,"3,056,246"
20,Saharsa,Bihar,61.00,42412,"1,900,661"
21,Supaul,Bihar,61.50,47023,"2,229,076"
22,Madhepura,Bihar,62.00,51666,"1,994,618"
23,Muzaffarpur,Bihar,63.43,93075,"4,801,062"
24,Samastipur,Bihar,63.50,93161,"4,261,566"
25,Gopalganj,Bihar,64.00,46818,"2,562,012"
26,Siwan,Bihar,64.50,52907,"3,318,176"
27,Saran,Bihar,65.00,63026,"3,951,862"
28,Vaishali,Bihar,65.50,72298,"3,495,021"
29,Darbhanga,Bihar,66.00,93323,"3,921,971"
30,Murshidabad,West Bengal,66.59,90308,"7,103,807"
