Rank,District,State,Literacy_Rate_Percent,Total_Bio_Updates_5_17,Population_2011,Compliance,DES
1,Alirajpur,Madhya Pradesh,37.22,33490,"728,999",0.045940,12.3428
2,Shravasti,Uttar Pradesh,46.74,35921,"1,117,361",0.032148,6.8780
4,Balrampur,Uttar Pradesh,49.51,86736,"2,148,665",0.040367,8.1533
5,Koraput,Odisha,49.87,47391,"1,379,647",0.034350,6.8879
6,Badaun,Uttar Pradesh,51.29,77268,"3,681,896",0.020986,4.0916
7,Bahraich,Uttar Pradesh,51.10,131149,"3,487,731",0.037603,7.3587
8,Rampur,Uttar Pradesh,53.34,83353,"2,335,398",0.035691,6.6912
9,Jhabua,Madhya Pradesh,54.00,50578,"1,024,091",0.049388,9.1459
10,Purbi Champaran,Bihar,55.79,95935,"5,099,371",0.018813,3.3721
11,Moradabad,Uttar Pradesh,56.77,101759,"4,772,006",0.021324,3.7562
12,Barwani,Madhya Pradesh,57.00,78193,"1,385,659",0.056430,9.9000
13,Sheopur,Madhya Pradesh,57.50,32840,"687,952",0.047736,8.3019
14,Dhar,Madhya Pradesh,58.00,77936,"2,184,672",0.035674,6.1507
15,Sitamarhi,Bihar,58.50,84925,"3,419,622",0.024835,4.2453
16,Pashchim Champaran,Bihar,59.00,75507,"3,922,780",0.019248,3.2624
17,Araria,Bihar,59.50,72533,"2,806,200",0.025847,4.3440
18,Kishanganj,Bihar,60.00,57815,"1,690,400",0.034202,5.7003
19,Katihar,Bihar,60.50,98243,"3,056,246",0.032145,5.3132
20,Saharsa,Bihar,61.00,42412,"1,900,661",0.022314,3.6580
21,Supaul,Bihar,61.50,47023,"2,229,076",0.021095,3.4301
22,Madhepura,Bihar,62.00,51666,"1,994,618",0.025903,4.1779
23,Muzaffarpur,Bihar,63.43,93075,"4,801,062",0.019386,3.0563
24,Samastipur,Bihar,63.50,93161,"4,261,566",0.021861,3.4427
25,Gopalganj,Bihar,64.00,46818,"2,562,012",0.018274,2.8553
26,Siwan,Bihar,64.50,52907,"3,318,176",0.015945,2.4721
27,Saran,Bihar,65.00,63026,"3,951,862",0.015948,2.4535
28,Vaishali,Bihar,65.50,72298,"3,495,021",0.020686,3.1582
29,Darbhanga,Bihar,66.00,93323,"3,921,971",0.023795,3.6053
30,Murshidabad,West Bengal,66.59,90308,"7,103,807",0.012713,1.9091
