Rank,District,State,Literacy_Rate_Percent,Total_Bio_Updates_5_17,Population_2011,Compliance,DES
1,Alirajpur,Madhya Pradesh,37.22,33490,"728,999",0.045940,0.1234
2,Shravasti,Uttar Pradesh,46.74,35921,"1,117,361",0.032148,0.0688
4,Balrampur,Uttar Pradesh,49.51,86736,"2,148,665",0.040367,0.0815
5,Koraput,Odisha,49.87,47391,"1,379,647",0.034350,0.0689
6,Badaun,Uttar Pradesh,51.29,77268,"3,681,896",0.020986,0.0409
7,Bahraich,Uttar Pradesh,51.10,131149,"3,487,731",0.037603,0.0736
8,Rampur,Uttar Pradesh,53.34,83353,"2,335,398",0.035691,0.0669
9,Jhabua,Madhya Pradesh,54.00,50578,"1,024,091",0.049388,0.0915
10,Purbi Champaran,Bihar,55.79,95935,"5,099,371",0.018813,0.0337
11,Moradabad,Uttar Pradesh,56.77,101759,"4,772,006",0.021324,0.0376
12,Barwani,Madhya Pradesh,57.00,78193,"1,385,659",0.056430,0.0990
13,Sheopur,Madhya Pradesh,57.50,32840,"687,952",0.047736,0.0830
14,Dhar,Madhya Pradesh,58.00,77936,"2,184,672",0.035674,0.0615
15,Sitamarhi,Bihar,58.50,84925,"3,419,622",0.024835,0.0425
16,Pashchim Champaran,Bihar,59.00,75507,"3,922,780",0.019248,0.0326
17,Araria,Bihar,59.50,72533,"2,806,200",0.025847,0.0434
18,Kishanganj,Bihar,60.00,57815,"1,690,400",0.034202,0.0570
19,Katihar,Bihar,60.50,98243,"3,056,246",0.032145,0.0531
20,Saharsa,Bihar,61.00,42412,"1,900,661",0.022314,0.0366
21,Supaul,Bihar,61.50,47023,"2,229,076",0.021095,0.0343
22,Madhepura,Bihar,62.00,51666,"1,994,618",0.025903,0.0418
23,Muzaffarpur,Bihar,63.43,93075,"4,801,062",0.019386,0.0306
24,Samastipur,Bihar,63.50,93161,"4,261,566",0.021861,0.0344
25,Gopalganj,Bihar,64.00,46818,"2,562,012",0.018274,0.0286
26,Siwan,Bihar,64.50,52907,"3,318,176",0.015945,0.0247
27,Saran,Bihar,65.00,63026,"3,951,862",0.015948,0.0245
28,Vaishali,Bihar,65.50,72298,"3,495,021",0.020686,0.0316
29,Darbhanga,Bihar,66.00,93323,"3,921,971",0.023795,0.0361
30,Murshidabad,West Bengal,66.59,90308,"7,103,807",0.012713,0.0191
