state,district,Year,Month_Name,age_0_5,age_5_17,age_18_greater
100000,100000,2025,September,0,0,12
100000,100000,2025,October,0,1,0
100000,100000,2025,November,0,0,11
100000,100000,2025,December,0,0,194
West Bengal,24 Paraganas North,2025,June,540,399,111
West Bengal,24 Paraganas North,2025,July,2637,2059,401
West Bengal,24 Paraganas South,2025,July,364,104,22
Odisha,ANGUL,2025,November,1,0,0
Odisha,ANUGUL,2025,September,2,1,0
Odisha,ANUGUL,2025,October,3,0,0
Odisha,ANUGUL,2025,November,3,0,0
Odisha,ANUGUL,2025,December,4,0,0
Andhra Pradesh,Adilabad,2025,September,523,131,0
Telangana,Adilabad,2025,September,1022,189,0
Andhra Pradesh,Adilabad,2025,October,236,71,1
Telangana,Adilabad,2025,October,574,101,0
Andhra Pradesh,Adilabad,2025,November,286,63,0
Telangana,Adilabad,2025,November,577,121,2
Andhra Pradesh,Adilabad,2025,December,92,16,0
Telangana,Adilabad,2025,December,344,56,1
Madhya Pradesh,Agar Malwa,2025,September,392,186,5
Madhya Pradesh,Agar Malwa,2025,October,275,65,0
Madhya Pradesh,Agar Malwa,2025,November,868,86,1
Madhya Pradesh,Agar Malwa,2025,December,552,84,23
Uttar Pradesh,Agra,2025,March,280,494,132
Uttar Pradesh,Agra,2025,April,832,568,37
Uttar Pradesh,Agra,2025,May,1550,967,60
Uttar Pradesh,Agra,2025,June,1775,1860,154
Uttar Pradesh,Agra,2025,July,2371,2123,75
Uttar Pradesh,Agra,2025,September,3078,2629,57
Uttar Pradesh,Agra,2025,October,1652,1236,64
Uttar Pradesh,Agra,2025,November,2709,1766,62
Uttar Pradesh,Agra,2025,December,2067,1048,264
Maharashtra,Ahilyanagar,2025,December,12,1,0
Gujarat,Ahmadabad,2025,June,685,480,60
Gujarat,Ahmadabad,2025,July,2714,1590,180
Gujarat,Ahmadabad,2025,September,231,115,0
Gujarat,Ahmadabad,2025,October,91,36,0
Gujarat,Ahmadabad,2025,November,259,70,0
Gujarat,Ahmadabad,2025,December,125,31,0
Maharashtra,Ahmadnagar,2025,April,71,15,10
Maharashtra,Ahmadnagar,2025,September,2167,1260,33
Maharashtra,Ahmadnagar,2025,October,1334,331,22
Maharashtra,Ahmadnagar,2025,November,1706,383,58
Maharashtra,Ahmadnagar,2025,December,4091,349,6
Maharashtra,Ahmed Nagar,2025,September,56,26,0
Maharashtra,Ahmed Nagar,2025,October,43,8,0
Maharashtra,Ahmed Nagar,2025,November,53,16,0
Maharashtra,Ahmed Nagar,2025,December,125,13,0
Gujarat,Ahmedabad,2025,April,77,26,19
Gujarat,Ahmedabad,2025,May,756,347,97
Gujarat,Ahmedabad,2025,July,397,389,36
Gujarat,Ahmedabad,2025,September,3946,2033,72
Gujarat,Ahmedabad,2025,October,1587,744,77
Gujarat,Ahmedabad,2025,November,3702,1499,168
Gujarat,Ahmedabad,2025,December,2379,641,138
Maharashtra,Ahmednagar,2025,July,182,158,28
Mizoram,Aizawl,2025,September,262,92,11
Mizoram,Aizawl,2025,October,198,85,45
Mizoram,Aizawl,2025,November,237,51,4
Mizoram,Aizawl,2025,December,65,8,1
Rajasthan,Ajmer,2025,April,1007,196,36
Rajasthan,Ajmer,2025,July,673,241,18
Rajasthan,Ajmer,2025,September,3125,980,17
Rajasthan,Ajmer,2025,October,1146,404,5
Rajasthan,Ajmer,2025,November,1972,550,66
Rajasthan,Ajmer,2025,December,1277,416,6
Maharashtra,Akola,2025,July,390,205,42
Maharashtra,Akola,2025,September,1261,241,0
Maharashtra,Akola,2025,October,688,72,4
Maharashtra,Akola,2025,November,928,122,2
Maharashtra,Akola,2025,December,699,53,1
Kerala,Alappuzha,2025,September,713,275,5
Kerala,Alappuzha,2025,October,614,230,27
Kerala,Alappuzha,2025,November,753,253,57
Kerala,Alappuzha,2025,December,456,134,42
Uttar Pradesh,Aligarh,2025,March,226,353,44
Uttar Pradesh,Aligarh,2025,April,1066,643,58
Uttar Pradesh,Aligarh,2025,May,1564,1159,103
Uttar Pradesh,Aligarh,2025,June,1247,1291,97
Uttar Pradesh,Aligarh,2025,July,3024,3256,128
Uttar Pradesh,Aligarh,2025,September,2267,2037,51
Uttar Pradesh,Aligarh,2025,October,1213,983,37
Uttar Pradesh,Aligarh,2025,November,1632,1280,50
Uttar Pradesh,Aligarh,2025,December,1591,774,18
