Page,Header Snippet,Data Count,Val 1,Val 2,Val 3,Val 4,Val 5,Val 6,Val 7,Val 8,Val 9
76,INDIA JAMMU & KASHMIR (UT) HIMACHAL PRADESH,9,35.70,36.03,35.35,31.05,32.17,29.83,10.35,11.02,9.67
77,,9,42.55,43.26,41.77,43.26,43.71,42.76,99.73,100.0,98.89
78,RAJASTHAN UTTAR PRADESH BIHAR,9,26.90,27.43,26.33,24.31,24.67,23.93,12.44,12.64,12.22
79,,9,15.80,15.97,15.63,37.63,37.99,37.24,26.52,27.16,25.85
80,ODISHA CHHATTISGARH MADHYA PRADESH,9,19.19,19.76,18.62,27.76,28.30,27.21,29.21,29.58,28.83
81,GUJARAT MAHARASHTRA ANDHRA PRADESH,9,49.71,50.34,49.02,49.07,49.56,48.55,37.69,37.96,37.42
82,,9,45.37,45.56,45.18,79.42,79.07,79.75,54.57,54.72,54.43
83,,9,100.0,100.0,100.0,36.83,38.12,35.47,53.16,52.76,53.62
84,ARUNACHAL PRADESH NAGALAND MANIPUR,9,26.10,26.89,25.27,48.69,49.50,47.83,32.97,32.45,33.48
85,,9,55.52,55.15,55.88,41.45,41.37,41.53,20.74,20.70,20.77
86,,9,96.66,96.66,96.66,72.26,69.96,75.91,77.89,79.11,76.65
87,LAKSHADWEEP PUDUCHERRY,9,99.63,99.70,99.56,70.47,72.93,68.26,45.18,45.79,44.52
