Rank,District,State,Literacy_Rate_Percent
1,Alirajpur,Madhya Pradesh,37.22
2,Shravasti,Uttar Pradesh,46.74
3,Bahraich,Uttar Pradesh,49.36
4,Balrampur,Uttar Pradesh,49.51
5,Koraput,Odisha,49.87
6,Badaun,Uttar Pradesh,51.29
7,Bahraich,Uttar Pradesh,51.10
8,Rampur,Uttar Pradesh,53.34
9,Jhabua,Madhya Pradesh,54.00
10,Purbi Champaran,Bihar,55.79
11,Moradabad,Uttar Pradesh,56.77
12,Barwani,Madhya Pradesh,57.00
13,Sheopur,Madhya Pradesh,57.50
14,Dhar,Madhya Pradesh,58.00
15,Sitamarhi,Bihar,58.50
16,Pashchim Champaran,Bihar,59.00
17,Araria,Bihar,59.50
18,Kishanganj,Bihar,60.00
19,Katihar,Bihar,60.50
20,Saharsa,Bihar,61.00
21,Supaul,Bihar,61.50
22,Madhepura,Bihar,62.00
23,Muzaffarpur,Bihar,63.43
24,Samastipur,Bihar,63.50
25,Gopalganj,Bihar,64.00
26,Siwan,Bihar,64.50
27,Saran,Bihar,65.00
28,Vaishali,Bihar,65.50
29,Darbhanga,Bihar,66.00
30,Murshidabad,West Bengal,66.59
