district,Year,Month_Name,age_0_5,age_5_17,age_18_greater
Ajmer,2025,April,1007,196,36
Ajmer,2025,June,1057,623,21
Ajmer,2025,July,673,241,18
Ajmer,2025,September,3125,980,17
Ajmer,2025,October,1164,403,6
Ajmer,2025,November,1967,552,66
Ajmer,2025,December,1264,397,6
Ajmer,2026,January,389,212,7
Alwar,2025,April,784,209,39
Alwar,2025,May,610,179,10
Alwar,2025,June,2159,1474,47
Alwar,2025,July,1837,879,41
Alwar,2025,September,5235,2311,41
Alwar,2025,October,2012,1103,35
Alwar,2025,November,2616,1441,87
Alwar,2025,December,1913,851,29
Alwar,2026,January,572,410,4
Balotra,2025,November,1,0,0
Balotra,2026,January,0,1,0
Banswara,2025,June,437,676,5
Banswara,2025,September,1902,1318,3
Banswara,2025,October,507,412,0
Banswara,2025,November,1014,738,21
Banswara,2025,December,724,462,5
Banswara,2026,January,192,239,2
Baran,2025,April,379,60,25
Baran,2025,June,504,352,16
Baran,2025,July,336,91,10
Baran,2025,September,1575,646,14
Baran,2025,October,424,167,8
Baran,2025,November,993,362,19
Baran,2025,December,788,306,3
Baran,2026,January,172,98,3
Barmer,2025,June,2747,1816,46
Barmer,2025,September,4413,2236,18
Barmer,2025,October,1404,701,3
Barmer,2025,November,2305,1148,39
Barmer,2025,December,1642,810,20
Barmer,2026,January,510,413,14
Beawar,2025,December,1,0,0
Bharatpur,2025,April,240,37,10
Bharatpur,2025,June,1252,1135,30
Bharatpur,2025,July,1219,758,21
Bharatpur,2025,September,3996,2505,37
Bharatpur,2025,October,1364,956,16
Bharatpur,2025,November,2145,1447,79
Bharatpur,2025,December,1257,872,12
Bharatpur,2026,January,363,416,6
Bhilwara,2025,June,1164,724,56
Bhilwara,2025,July,477,332,22
Bhilwara,2025,September,3141,1068,25
Bhilwara,2025,October,951,392,21
Bhilwara,2025,November,1786,621,72
Bhilwara,2025,December,1072,446,23
Bhilwara,2026,January,424,230,7
Bikaner,2025,April,552,261,16
Bikaner,2025,May,421,164,20
Bikaner,2025,June,1430,1360,67
Bikaner,2025,July,763,452,30
Bikaner,2025,September,2186,1865,32
Bikaner,2025,October,745,660,16
Bikaner,2025,November,1178,878,36
Bikaner,2025,December,933,745,15
Bikaner,2026,January,283,370,6
Bundi,2025,April,337,93,35
