State,Urban_Person,Urban_Male,Urban_Female,Rural_Person,Rural_Male,Rural_Female
INDIA,35.70,36.03,35.35,64.30,63.97,64.65
JAMMU & KASHMIR,31.05,32.17,29.83,68.95,67.83,70.17
HIMACHAL PRADESH,10.35,11.02,9.67,89.65,88.98,90.33
PUNJAB,42.55,43.26,41.77,57.45,56.74,58.23
HARYANA,43.26,43.71,42.76,56.74,56.29,57.24
NCT OF DELHI,99.73,100.00,98.89,0.27,0.00,1.11
RAJASTHAN,26.90,27.43,26.33,73.10,72.57,73.67
UTTAR PRADESH,24.31,24.67,23.93,75.69,75.33,76.07
BIHAR,12.44,12.64,12.22,87.56,87.36,87.78
ASSAM,15.80,15.97,15.63,84.20,84.03,84.37
WEST BENGAL,37.63,37.99,37.24,62.37,62.01,62.76
JHARKHAND,26.52,27.16,25.85,73.48,72.84,74.15
ODISHA,19.19,19.76,18.62,80.81,80.24,81.38
CHHATTISGARH,27.76,28.30,27.21,72.24,71.70,72.79
MADHYA PRADESH,29.21,29.58,28.83,70.79,70.42,71.17
GUJARAT,49.71,50.34,49.02,50.29,49.66,50.98
MAHARASHTRA,49.07,49.56,48.55,50.93,50.44,51.45
ANDHRA PRADESH,37.69,37.96,37.42,62.31,62.04,62.58
KARNATAKA,45.37,45.56,45.18,54.63,54.44,54.82
GOA,79.42,79.07,79.75,20.58,20.93,20.25
KERALA,54.57,54.72,54.43,45.43,45.28,45.57
CHANDIGARH,100.00,100.00,100.00,0.00,0.00,0.00
UTTARAKHAND,36.83,38.12,35.47,63.17,61.88,64.53
TAMIL NADU,53.16,52.76,53.62,46.84,47.24,46.38
ARUNACHAL PRADESH,26.10,26.89,25.27,73.90,73.11,74.73
NAGALAND,48.69,49.50,47.83,51.31,50.50,52.17
MANIPUR,32.97,32.45,33.48,67.03,67.55,66.52
MIZORAM,55.52,55.15,55.88,44.48,44.85,44.12
TRIPURA,41.45,41.37,41.53,58.55,58.63,58.47
MEGHALAYA,20.74,20.70,20.77,79.26,79.30,79.23
DADRA & NAGAR HAVELI,96.66,96.66,96.66,3.34,3.34,3.34
DAMAN & DIU,72.26,69.96,75.91,27.74,30.04,24.09
SIKKIM,77.89,79.11,76.65,22.11,20.89,23.35
LAKSHADWEEP,99.63,99.70,99.56,0.37,0.30,0.44
PUDUCHERRY,70.47,72.93,68.26,29.53,27.07,31.74
ANDAMAN & NICOBAR ISLANDS,45.18,45.79,44.52,54.82,54.21,55.48
