State,Person,Male,Female
INDIA,35.70,36.03,35.35
JAMMU and KASHMIR,31.05,32.17,29.83
HIMACHAL PRADESH,10.35,11.02,9.67
PUNJAB,42.55,43.26,41.77
HARYANA,43.26,43.71,42.76
NCT OF DELHI,99.73,100.0,98.89
RAJASTHAN,26.90,27.43,26.33
UTTAR PRADESH,24.31,24.67,23.93
BIHAR,12.44,12.64,12.22
ASSAM,15.80,15.97,15.63
WEST BENGAL,37.63,37.99,37.24
JHARKHAND,26.52,27.16,25.85
ODISHA,19.19,19.76,18.62
CHHATTISGARH,27.76,28.30,27.21
MADHYA PRADESH,29.21,29.58,28.83
GUJARAT,49.71,50.34,49.02
MAHARASHTRA,49.07,49.56,48.55
ANDHRA PRADESH,37.69,37.96,37.42
INDIA,45.37,45.56,45.18
CHANDIGARH,100.0,100.0,100.0
UTTARAKHAND,36.83,38.12,35.47
SIKKIM,53.16,52.76,53.62
ARUNACHAL PRADESH,26.10,26.89,25.27
NAGALAND,48.69,49.50,47.83
MANIPUR,32.97,32.45,33.48
MIZORAM,55.52,55.15,55.88
TRIPURA,41.45,41.37,41.53
MEGHALAYA,20.74,20.70,20.77
DAMAN and DIU,96.66,96.66,96.66
DADRA and NAGAR HAVELI,72.26,69.96,75.91
GOA,77.89,79.11,76.65
LAKSHADWEEP,99.63,99.70,99.56
PUDUCHERRY,70.47,72.93,68.26
